title,link,cited,relatedLink,position,numOfVersions,publishedData,snippet
Imagery and spatial processes in blindness and visual impairment,https://www.sciencedirect.com/science/article/pii/S0149763408000638,Cited by 248,"https://scholar.google.com/scholar?q=related:7ZT6MT6mtHAJ:scholar.google.com/&scioq=congenital+blind+AND+(depth+perception+OR+sight+restoration+OR+monocular+cues+OR+binocular+cues+OR+critical+period+OR+Sensory+recovery+OR+brain+plasticity)&hl=en&as_sdt=0,5&as_ylo=2000&as_yhi=2020",21,All 19 versions,"Z Cattaneo, T Vecchi, C Cornoldi, I Mammarella… - Neuroscience & …, 2008 - Elsevier",
Reading with sounds: sensory substitution selectively activates the visual word form area in the blind,https://www.sciencedirect.com/science/article/pii/S0896627312007635,Cited by 227,"https://scholar.google.com/scholar?q=related:E2x15VTto5cJ:scholar.google.com/&scioq=congenital+blind+AND+(depth+perception+OR+sight+restoration+OR+monocular+cues+OR+binocular+cues+OR+critical+period+OR+Sensory+recovery+OR+brain+plasticity)&hl=en&as_sdt=0,5&as_ylo=2000&as_yhi=2020",22,All 14 versions,"E Striem-Amit, L Cohen, S Dehaene, A Amedi - Neuron, 2012 - Elsevier","… our case in the VWFA, and (2) is significantly less intense than bottom-up perception of the … Finally,
we investigated a rather unique case of a single congenitally blind subject, TB, who was highly
literate … in a new script in the adult brain after a brief 2 hr training period (eg, without … 
"
Functional selectivity in sensory-deprived cortices,https://journals.physiology.org/doi/abs/10.1152/jn.00109.2011,Cited by 57,"https://scholar.google.com/scholar?q=related:VNio7DHfOf0J:scholar.google.com/&scioq=congenital+blind+AND+(depth+perception+OR+sight+restoration+OR+monocular+cues+OR+binocular+cues+OR+critical+period+OR+Sensory+recovery+OR+brain+plasticity)&hl=en&as_sdt=0,5&as_ylo=2000&as_yhi=2020",23,All 11 versions,"G Dormal, O Collignon - Journal of neurophysiology, 2011 - journals.physiology.org","… Journal Menu. Home; Issues; Collections; Information; About. Neuro Forum. Functional selectivity
in sensory-deprived cortices. Giulia Dormal , and; Olivier Collignon. Giulia Dormal. Centre de
Recherche en Neuropsychologie et Cognition, Université de Montréal, Montreal; … 
"
Compensatory Plasticity as a Consequence of Sensory Loss.,https://psycnet.apa.org/record/2004-17469-046,Cited by 70,"https://scholar.google.com/scholar?q=related:uN7_wstfJvUJ:scholar.google.com/&scioq=congenital+blind+AND+(depth+perception+OR+sight+restoration+OR+monocular+cues+OR+binocular+cues+OR+critical+period+OR+Sensory+recovery+OR+brain+plasticity)&hl=en&as_sdt=0,5&as_ylo=2000&as_yhi=2020",24,,"B Röder, F Rösler - 2004 - psycnet.apa.org","… Different activation patterns in the visual cortex of late and congenitally blind subjects … Auditory
triggered mental imagery of shape involved visual association areas in early blind humans.
Neuroimage, 14, 129-139 … Journal of Visual Impairment & Blindness, 77(1), 16–18 … 
"
A lack of experience-dependent plasticity after more than a decade of recovered sight,https://journals.sagepub.com/doi/abs/10.1177/0956797614563957,Cited by 26,"https://scholar.google.com/scholar?q=related:IhDyw0z5sR0J:scholar.google.com/&scioq=congenital+blind+AND+(depth+perception+OR+sight+restoration+OR+monocular+cues+OR+binocular+cues+OR+critical+period+OR+Sensory+recovery+OR+brain+plasticity)&hl=en&as_sdt=0,5&as_ylo=2000&as_yhi=2020",25,All 13 versions,"E Huber, JM Webster, AA Brewer… - Psychological …, 2015 - journals.sagepub.com","… Download article citation data for: A Lack of Experience-Dependent Plasticity After More Than
a Decade of Recovered Sight. Elizabeth Huber, Jason M. Webster, Alyssa A. Brewer, Donald
IA MacLeod, Brian A. Wandell, Geoffrey M. Boynton, Alex R. Wade, and Ione Fine … 
"
Long-term effects of monocular deprivation revealed with binocular rivalry gratings modulated in luminance and in color,https://tvst.arvojournals.org/article.aspx?articleid=2121360,Cited by 56,"https://scholar.google.com/scholar?q=related:qTG-SEQWZjAJ:scholar.google.com/&scioq=congenital+blind+AND+(depth+perception+OR+sight+restoration+OR+monocular+cues+OR+binocular+cues+OR+critical+period+OR+Sensory+recovery+OR+brain+plasticity)&hl=en&as_sdt=0,5&as_ylo=2000&as_yhi=2020",26,All 15 versions,"C Lunghi, DC Burr, MC Morrone - Journal of vision, 2013 - tvst.arvojournals.org","… Free. Article | May 2013 Long-term effects of monocular deprivation revealed with
binocular rivalry gratings modulated in luminance and in color … 
"
Neuroplasticity in adult human visual cortex,https://www.sciencedirect.com/science/article/pii/S0149763419303288,Cited by 7,"https://scholar.google.com/scholar?q=related:rMmU0rGo5bcJ:scholar.google.com/&scioq=congenital+blind+AND+(depth+perception+OR+sight+restoration+OR+monocular+cues+OR+binocular+cues+OR+critical+period+OR+Sensory+recovery+OR+brain+plasticity)&hl=en&as_sdt=0,5&as_ylo=2000&as_yhi=2020",27,All 9 versions,"E Castaldi, C Lunghi, MC Morrone - Neuroscience & Biobehavioral …, 2020 - Elsevier","… is partially restored by means of a 'bionic eye' in late blind adults with … slowly became activated
by the artificial visual stimulation, indicating that sight restoration therapies can rely … 7T fMRI.
Amblyopia. Binocular rivalry. Bionic eye. Blindness. Cortical excitability. Critical period. Cross … 
"
[C] Sensory substitution and qualia,,Cited by 77,"https://scholar.google.com/scholar?q=related:xOqhNH2XBYwJ:scholar.google.com/&scioq=congenital+blind+AND+(depth+perception+OR+sight+restoration+OR+monocular+cues+OR+binocular+cues+OR+critical+period+OR+Sensory+recovery+OR+brain+plasticity)&hl=en&as_sdt=0,5&as_ylo=2000&as_yhi=2020",28,,"P Bach-y-Rita - Vision and mind, 2002 - MIT Press Cambridge, MA",
Development of pattern vision following early and extended blindness,https://www.pnas.org/content/111/5/2035.short,Cited by 61,"https://scholar.google.com/scholar?q=related:0C_ZLP1uFcIJ:scholar.google.com/&scioq=congenital+blind+AND+(depth+perception+OR+sight+restoration+OR+monocular+cues+OR+binocular+cues+OR+critical+period+OR+Sensory+recovery+OR+brain+plasticity)&hl=en&as_sdt=0,5&as_ylo=2000&as_yhi=2020",29,All 11 versions,"A Kalia, LA Lesmes, M Dorr, T Gandhi… - Proceedings of the …, 2014 - National Acad Sciences","Skip to main content. Submit; About: Editorial Board; PNAS Staff; FAQ; Rights and Permissions;
Site Map. Contact; Journal Club; Subscribe: Subscription Rates; Subscriptions FAQ; Open Access;
Recommend PNAS to Your Librarian. Log in; Log out; My Cart. Main menu … 
"
Cross-modal plasticity underpins language recovery after cochlear implantation,https://www.sciencedirect.com/science/article/pii/S089662730100318X,Cited by 219,"https://scholar.google.com/scholar?q=related:LEFSfT3SGBcJ:scholar.google.com/&scioq=congenital+blind+AND+(depth+perception+OR+sight+restoration+OR+monocular+cues+OR+binocular+cues+OR+critical+period+OR+Sensory+recovery+OR+brain+plasticity)&hl=en&as_sdt=0,5&as_ylo=2000&as_yhi=2020",30,All 10 versions,"AL Giraud, CJ Price, JM Graham, E Truy… - Neuron, 2001 - Elsevier","… six nonrehabilitated CI patients (deafened after chronic supurative otitis media [1], congenital
progressive deafness … Evidence from studies of the visual system in congenitally deaf adults. Ann …
F Rosler, S Hillyard, N NevilleImproved auditory spatial tuning in blind humans. Nature … 
"
Sensitive and critical periods in visual sensory deprivation,https://www.frontiersin.org/articles/10.3389/fpsyg.2013.00664/full,Cited by 62,"https://scholar.google.com/scholar?q=related:-xzXBIbFVXMJ:scholar.google.com/&scioq=congenital+blind+AND+(depth+perception+OR+sight+restoration+OR+monocular+cues+OR+binocular+cues+OR+critical+period+OR+Sensory+recovery+OR+brain+plasticity)&hl=en&as_sdt=0,5&as_ylo=2000&as_yhi=2020",31,All 10 versions,"P Voss - Frontiers in psychology, 2013 - frontiersin.org","… So far only research findings relating to early or congenital blindness have been covered (see
Box 1 … a schematic representation of how auditory information flows toward V1 in the congenitally
blind and late … then, the cube and the sphere placed on a table, and the blind man to … 
"
Sensory compensation in sound localization in people with one eye,https://link.springer.com/content/pdf/10.1007/s00221-011-2960-0.pdf,Cited by 38,"https://scholar.google.com/scholar?q=related:dJKl0X5pHv4J:scholar.google.com/&scioq=congenital+blind+AND+(depth+perception+OR+sight+restoration+OR+monocular+cues+OR+binocular+cues+OR+critical+period+OR+Sensory+recovery+OR+brain+plasticity)&hl=en&as_sdt=0,5&as_ylo=2000&as_yhi=2020",32,All 14 versions,"AEN Hoover, LR Harris, JKE Steeves - Experimental brain research, 2012 - Springer","… 2000) with selective recruitment of right dorsal occipital cortex in the congenitally blind (see
Collignon … more accurate than normal controls at locating sounds, similar to people with early
blindness. The improvement in localization occurs not only in the blind field but, surprisingly … 
"
Posterior parietal cortex contributions to cross-modal brain plasticity upon sensory loss,https://www.sciencedirect.com/science/article/pii/S095943882030101X,,,33,All 4 versions,"SRJ Gilissen, L Arckens - Current Opinion in Neurobiology, 2020 - Elsevier","… or limb amputation, impact millions of people worldwide [1,2]. Whether congenital or acquired …
Magnetoencephalography in a congenitally blind patient revealed how cross-modal touch
activation of primary visual … higher activity of the inferior and superior PPC in the blind, as well … 
"
The cross-modal effects of sensory deprivation on spatial and temporal processes in vision and audition: A systematic review on behavioral and neuroimaging …,https://psycnet.apa.org/record/2019-76713-001,Cited by 5,"https://scholar.google.com/scholar?q=related:J9EopZNTVWwJ:scholar.google.com/&scioq=congenital+blind+AND+(depth+perception+OR+sight+restoration+OR+monocular+cues+OR+binocular+cues+OR+critical+period+OR+Sensory+recovery+OR+brain+plasticity)&hl=en&as_sdt=0,5&as_ylo=2000&as_yhi=2020",34,All 10 versions,"L Bell, L Wagels, C Neuschaefer-Rube, J Fels… - … plasticity, 2019 - psycnet.apa.org","… Impairment of auditory spatial localization in congenitally blind human subjects. Brain: A Journal
of Neurology, 137(1), 288–293 … Auditory spatial representations of the world are compressed in
blind humans … The effect of congenital deafness on duration judgment … 
"
Compensatory plasticity and cross-modal reorganization following early visual deprivation,https://www.sciencedirect.com/science/article/pii/S0149763413001917,Cited by 161,"https://scholar.google.com/scholar?q=related:ucjSldjGJkcJ:scholar.google.com/&scioq=congenital+blind+AND+(depth+perception+OR+sight+restoration+OR+monocular+cues+OR+binocular+cues+OR+critical+period+OR+Sensory+recovery+OR+brain+plasticity)&hl=en&as_sdt=0,5&as_ylo=2000&as_yhi=2020",35,All 10 versions,"R Kupers, M Ptito - Neuroscience & Biobehavioral Reviews, 2014 - Elsevier","… Congenital blindness is associated with a hyperacuity for certain tactile and auditory tasks … The
study of the congenitally blind brain also offers a unique model to gain better insights into … as from
behavioural and functional brain imaging studies in sighted and blind individuals that … 
"
What neuroimaging tells us about sensory substitution,https://www.sciencedirect.com/science/article/pii/S0149763407000668,Cited by 71,"https://scholar.google.com/scholar?q=related:mCdwH2kqLe8J:scholar.google.com/&scioq=congenital+blind+AND+(depth+perception+OR+sight+restoration+OR+monocular+cues+OR+binocular+cues+OR+critical+period+OR+Sensory+recovery+OR+brain+plasticity)&hl=en&as_sdt=0,5&as_ylo=2000&as_yhi=2020",36,All 11 versions,"C Poirier, AG De Volder, C Scheiber - Neuroscience & Biobehavioral …, 2007 - Elsevier","… 1). In the case of blindness, visual information can be transmitted through the auditory or … Due
to the lack of visual experience of blind subjects, monocular depth cues could have less … role of
vision in “visual imagery” experiments: evidence from the congenitally blind. Journal of … 
"
